Source,Month of Year,Device Category,Ad Content,Sessions,Users,New Users,Pageviews,Session Duration,Calculated AToS
Sharecare,202104,,SDPMR.NU1624UnbrandedSymp.300,43,43,43,45,357,0.004131944
Sharecare,202104,,SDPPerformanceDisplay.NU1559Branded.300,26,24,24,35,2519,0.029155093
Sharecare,202104,,SDPMR.NU1559Branded.728,15,15,15,156,813,0.009409722
Sharecare,202104,,SDPMR.NU1559Branded.160,7,7,7,18,107,0.001238426
Sharecare,202104,,SDPMR.NU1624UnbrandedSymp.160,6,6,6,7,1,1.15741E-05
Sharecare,202104,,SDPMR.NU1624UnbrandedSymp.728,5,5,5,5,0,0
Sharecare,202104,,SharecarePerformanceDisplay.Dermicool_SDP_DTP_TalkToYourDoctor.1,5,2,1,5,0,0
Sharecare,202104,,SDPMR.NU1623Unbranded50.160,4,4,4,4,0,0
Sharecare,202104,,SDPMR.NU1623Unbranded50.728,4,4,4,5,0,0
Swoop,202104,,SDPCustom.NU1559Branded.728,268,210,208,440,1787,0.02068287
Swoop,202104,,SDPCustom.NU1624UnbrandedSymp.728,227,198,195,237,6264,0.0725
Swoop,202104,,SDPCustom.NU1623Unbranded50.728,196,166,164,200,995,0.011516204
Swoop,202104,,SDPCustom.NU1559Branded.300,114,87,85,205,3215,0.037210648
Swoop,202104,,SDPCustom.NU1624UnbrandedSymp.300,74,59,58,94,2004,0.023194444
Swoop,202104,,SDPCustom.NU1623Unbranded50.300,45,30,30,54,221,0.00255787
Swoop,202104,,SDPCustom.NU1559Branded.160,9,9,9,91,638,0.007384259
Swoop,202104,,SDPCustom.NU1624UnbrandedSymp.160,7,7,7,12,21,0.000243056
Swoop,202104,,SDPCustom.NU1623Unbranded50.160,4,4,3,5,4,4.62963E-05
Swoop,202104,,SwoopSDPCustom.NU1624UnbrandedSymp.728,3,3,3,4,787,0.009108796
Swoop,202104,,SwoopSDPCustom.NU1559Branded.728,2,2,1,2,0,0
Swoop,202104,,SwoopSDPCustom.NU1623Unbranded50.728,1,1,1,1,0,0
WebMD,202104,,AudienceSDOnly.NU1559Branded.300,109,100,95,131,4936,0.05712963
WebMD,202104,,RotationalBannerSDConditionCenter.NU1559Branded.300,102,98,97,131,3539,0.040960648
WebMD,202104,,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.300,89,85,82,109,3996,0.04625
WebMD,202104,,RotationalBannerSDConditionCenter.NU1623Unbranded50.300,67,59,57,77,4251,0.049201389
WebMD,202104,,AudienceSDOnly.NU1624UnbrandedSymp.300,54,50,46,68,4249,0.049178241
WebMD,202104,,AudienceSDOnly.NU1623Unbranded50.300,32,31,30,47,3261,0.037743056
WebMD,202104,,RotationalBannerSDConditionCenter.NU1559Branded.160,16,13,12,18,222,0.002569444
WebMD,202104,,AudienceSDOnly.NU1559Branded.728,11,11,11,11,54,0.000625
WebMD,202104,,RotationalBannerSDConditionCenter.NU1559Branded.728,11,11,11,12,335,0.003877315
WebMD,202104,,RotationalBannerSDConditionCenter.NU1623Unbranded50.160,10,10,10,13,367,0.004247685
WebMD,202104,,AudienceSDOnly.NU1559Branded.160,9,9,8,13,439,0.005081019
WebMD,202104,,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.160,8,8,7,8,347,0.004016204
WebMD,202104,,AudienceSDOnly.NU1623Unbranded50.728,6,6,6,6,0,0
WebMD,202104,,AudienceSDOnly.NU1624UnbrandedSymp.728,6,6,6,6,145,0.001678241
WebMD,202104,,RotationalBannerSDConditionCenter.NU1623Unbranded50.728,6,6,5,10,686,0.007939815
WebMD,202104,,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.728,6,6,6,6,0,0
WebMD,202104,,AudienceSDOnly.NU1624UnbrandedSymp.160,3,3,3,3,0,0
WebMD,202104,,WebMDRotationalBannerSDConditionCenter.NU1623Unbranded50.728,3,1,0,4,991,0.011469907
WebMD,202104,,NUMonographAV.NU1559Branded.300,2,2,0,2,147,0.001701389
WebMD,202104,,NUMonographAV.NU1623Unbranded50.300,2,2,1,2,0,0
WebMD,202104,,AudienceSDOnly.NU1623Unbranded50.160,1,1,1,1,0,0
WebMD,202104,,NUMonographAV.NU1559Branded.160,1,1,1,1,0,0
WebMD,202104,,NUMonographAV.NU1559Branded.728,1,1,1,2,95,0.001099537
WebMD,202104,,NUMonographAV.NU1623Unbranded50.160,1,1,1,1,0,0
WebMD,202104,,NUMonographAV.NU1624UnbrandedSymp.300,1,1,1,2,134,0.001550926
WebMD,202104,,WebMDAudienceSDOnly.NU1624UnbrandedSymp.300,1,1,0,1,0,0
WebMD,202104,,WebMDRotationalBannerSDConditionCenter.NU1559Branded.300,1,1,1,1,0,0
Zeta,202104,,SDPCrossix.NU1624UnbrandedSymp.320,176,163,156,187,1015,0.011747685
Zeta,202104,,SDPSwoop.NU1624UnbrandedSymp.320,135,126,126,146,830,0.009606481
Zeta,202104,,SDPCrossix.NU1559Branded.728,87,87,87,355,3025,0.035011574
Zeta,202104,,SDPCrossix.NU1623Unbranded50.728,62,62,62,67,99,0.001145833
Zeta,202104,,SDPCrossix.NU1624UnbrandedSymp.728,62,62,61,62,0,0
Zeta,202104,,SDPCrossix.NU1559Branded.300,41,41,41,220,1493,0.017280093
Zeta,202104,,SDPCrossix.NU1559Branded.160,40,40,40,244,1828,0.021157407
Zeta,202104,,SDPSwoop.NU1559Branded.160,39,38,38,207,1443,0.016701389
Zeta,202104,,SDPSwoop.NU1559Branded.300,34,34,34,205,1468,0.016990741
Zeta,202104,,SDPCrossix.NU1624UnbrandedSymp.300,33,33,33,37,160,0.001851852
Zeta,202104,,SDPCrossix.NU1623Unbranded50.160,31,31,31,31,0,0
Zeta,202104,,SDPSwoop.NU1559Branded.728,30,29,28,207,1108,0.012824074
Zeta,202104,,SDPCrossix.NU1624UnbrandedSymp.160,29,29,29,31,43,0.000497685
Zeta,202104,,SDPCrossix.NU1623Unbranded50.300,26,26,26,29,4,4.62963E-05
Zeta,202104,,SDPSwoop.NU1624UnbrandedSymp.300,16,16,16,17,38,0.000439815
Zeta,202104,,SDPSwoop.NU1623Unbranded50.160,15,15,15,15,0,0
Zeta,202104,,SDPSwoop.NU1624UnbrandedSymp.728,14,14,14,16,75,0.000868056
Zeta,202104,,SDPSwoop.NU1623Unbranded50.728,9,8,8,9,0,0
Zeta,202104,,SDPSwoop.NU1624UnbrandedSymp.160,9,9,9,9,0,0
Zeta,202104,,SDPSwoop.NU1623Unbranded50.300,5,5,5,6,38,0.000439815
Zeta,202104,,ZetaSDPCrossix.NU1624UnbrandedSymp.320,3,3,1,3,0,0
Zeta,202104,,ZetaSDPCrossix.NU1624UnbrandedSymp.160,1,1,0,1,0,0
Aptus,202105,desktop,AptusDermicoolLTCDTP.NU1545.320x50,7,6,5,12,4806,0.055625
Aptus,202105,desktop,AptusDermicoolLTCDTP.NU1546.300x250,1,1,1,1,0,0
Aptus,202105,desktop,DistributionDTC.NU1623Unbranded50.300,18,18,17,18,0,0
Aptus,202105,desktop,DistributionDTC.NU1623Unbranded50.320,4,1,0,5,9,0.000104167
Aptus,202105,desktop,DistributionDTC.NU1624UnbrandedSymp.300,12,11,10,13,409,0.004733796
Aptus,202105,desktop,DistributionDTC.NU1624UnbrandedSymp.320,56,56,56,56,0,0
Aptus,202105,desktop,DistributionDTC.NU1715.1,2,2,2,2,0,0
GoodRx,202105,desktop,BSDermicool.NU1559Branded.160,3,1,0,4,41,0.000474537
GoodRx,202105,desktop,BSDermicool.NU1559Branded.728,3,2,1,3,11,0.000127315
GoodRx,202105,desktop,BSDermicoolParkinsonDisease.NU1559Branded.728,2,2,2,3,0,0
